"Crude.Oil"	"Rapeseed"	"Biodiesel"
"2004-10-08"	-0.210413219897231	-0.34697885322477	-0.163096592298565
"2004-10-15"	-0.188243129300725	-0.36879105123236	-0.136448067174556
"2004-10-22"	-0.180524738605927	-0.379426080232284	-0.148534089052778
"2004-10-29"	-0.244463806709847	-0.378762430032594	-0.149618899869022
"2004-11-05"	-0.325097784418894	-0.38282031726712	-0.123424332263606
"2004-11-12"	-0.40329934908926	-0.377114669793467	-0.14261611516316
"2004-11-19"	-0.352582494437077	-0.354405261505338	-0.167728704213541
"2004-11-26"	-0.369244108721109	-0.361813972400569	-0.144785736795657
"2004-12-03"	-0.485295701470355	-0.363113930825158	-0.156892007529413
"2004-12-10"	-0.51540496779326	-0.358165827307566	-0.172859889644791
"2004-12-17"	-0.353114852309621	-0.369471514410326	-0.173944700461041
"2004-12-24"	-0.450658998750215	-0.374582984340307	-0.176975782770058
"2004-12-31"	-0.447229235339514	-0.384938339770828	-0.17986713687964
"2005-01-07"	-0.345582172733343	-0.399992806291782	-0.177199132909825
"2005-01-14"	-0.31953947056613	-0.44548114046411	-0.174915046659983
"2005-01-21"	-0.314761864742596	-0.466961788779588	-0.175999857476244
"2005-01-28"	-0.331024718988493	-0.498804731549393	-0.183291884231428
"2005-02-04"	-0.347125379813393	-0.525929844870766	-0.185291190960966
"2005-02-11"	-0.33186517454025	-0.516441188234597	-0.178884403184641
"2005-02-18"	-0.332919550457926	-0.514750555965728	-0.18746081259351
"2005-02-25"	-0.295525284242791	-0.482657403383858	-0.1791842689641
"2005-03-04"	-0.263141358549101	-0.464492730187897	-0.180418853775871
"2005-03-11"	-0.27416848207706	-0.45299050679339	-0.183223646449734
"2005-03-18"	-0.224441793277728	-0.457756316322003	-0.17686144211482
"2005-03-25"	-0.257946392167199	-0.4615975665422	-0.181657245839644
"2005-04-01"	-0.223547767113618	-0.467055164618915	-0.17903106374737
"2005-04-08"	-0.296886313204464	-0.488219139525037	-0.180115874563676
"2005-04-15"	-0.355467595790006	-0.492795038238294	-0.192386484337671
"2005-04-22"	-0.301573516823751	-0.478318522725358	-0.17526901254929
"2005-04-29"	-0.362971389309932	-0.491819909053329	-0.165008224753316
"2005-05-06"	-0.335722200691576	-0.448200240894547	-0.162452029944766
"2005-05-13"	-0.338708089691667	-0.369781394284194	-0.185539928645131
"2005-05-20"	-0.232819814820198	-0.327306984138947	-0.141400375974165
"2005-05-27"	-0.193892308940564	-0.340718644258267	-0.123907421022825
"2005-06-03"	-0.117197813213892	-0.343189565883003	-0.114011195365032
"2005-06-10"	-0.146542544090061	-0.335161680140678	-0.122406949759204
"2005-06-17"	-0.0709242523502978	-0.316693464918703	-0.123491760575392
"2005-06-24"	-0.0512458836353682	-0.313020759332496	-0.110018588479209
"2005-07-01"	-0.0576861639721828	-0.323936696467392	-0.0723239738250854
"2005-07-08"	-0.0544450108725565	-0.330731056272514	-0.0764379821318055
"2005-07-15"	-0.082969247769956	-0.334032525968828	-0.0575335198506757
"2005-07-22"	-0.0764684560100299	-0.347352852205225	-0.0706884209795398
"2005-07-29"	-0.0523917656913993	-0.313279481744271	-0.0715656767929245
"2005-08-05"	-0.051192482696532	-0.322610367535311	-0.0767056010422449
"2005-08-12"	0.0260383383936551	-0.306400740564475	-0.0721800075317454
"2005-08-19"	0.0247657459608837	-0.296036867665395	-0.0584558270208309
"2005-08-26"	0.0262443598414706	-0.306190508743375	-0.0732106179098082
"2005-09-02"	0.0314465806017097	-0.306487556314579	-0.0598091220773371
"2005-09-09"	0.00446162645306547	-0.28438662182551	-0.0287755558765612
"2005-09-16"	-0.0106868017940922	-0.285498277824707	-0.0508213097772918
"2005-09-23"	0.0236003070479569	-0.267808704328918	-0.0576721575086019
"2005-09-30"	0.040020444191752	-0.256653998903356	-0.03114140654196
"2005-10-07"	-0.0457801900515662	-0.261098809238534	-0.00881736537468747
"2005-10-14"	-0.0356933964621184	-0.255258585568235	-0.0135796024868604
"2005-10-21"	-0.0269999063009214	-0.269925388362021	-0.022622917768909
"2005-10-28"	0.0063854917623889	-0.283588381535846	-0.0171943142196902
"2005-11-04"	0.0436177814805294	-0.268189976508273	-0.0231358611488863
"2005-11-11"	-0.0167216396883489	-0.271524602388323	-0.0285141992477893
"2005-11-18"	-0.0414015226476225	-0.282012274182669	-0.0326351026954246
"2005-11-25"	-0.0278700097376774	-0.304202786545575	-0.0243475906841395
"2005-12-02"	0.0225844120658785	-0.31521885227777	-0.0206124302689803
"2005-12-09"	0.0248880611396203	-0.311710756913349	-0.0240526847037055
"2005-12-16"	0.020614815951153	-0.332543388787271	-0.0312814708689331
"2005-12-23"	0.0299670457028842	-0.328719013387832	-0.0389086247865693
"2005-12-30"	0.0693078099659079	-0.354491847112804	-0.0434691488170831
"2006-01-06"	0.0962291999183424	-0.354576362777677	-0.0441599874032903
"2006-01-13"	0.0739563826789613	-0.387008665886762	-0.0477644117923957
"2006-01-20"	0.13235846188294	-0.356713771167972	-0.0508696878962418
"2006-01-27"	0.109271200938887	-0.344178478993329	-0.0507681416776684
"2006-02-03"	0.087220502902202	-0.355787909013624	-0.0525448230429122
"2006-02-10"	0.0248674212390334	-0.362775641206817	-0.0473217083503332
"2006-02-17"	-0.00492712330262801	-0.359436784996618	-0.0572884486706284
"2006-02-24"	0.0208574221969	-0.361813303667305	-0.0616498349249071
"2006-03-03"	0.0162641020667191	-0.347155793918268	-0.0659222169230596
"2006-03-10"	-0.010870837539473	-0.335780193132218	-0.0567831062343487
"2006-03-17"	-0.0192229774423209	-0.310111729808153	-0.0545158484480126
"2006-03-24"	-0.0137616806277743	-0.309728215125634	-0.0485390371380943
"2006-03-31"	0.000530800631498352	-0.321002366904028	-0.0651860649074401
"2006-04-07"	0.0242693919978016	-0.32532339110266	-0.0499271034358424
"2006-04-14"	0.0545793227974318	-0.327066057393829	-0.0460438070095304
"2006-04-21"	0.0929634187669368	-0.312696651012699	-0.0540517599042136
"2006-04-28"	0.0368101464662729	-0.320532332081934	-0.0562134713091851
"2006-05-05"	0.0248686592157172	-0.268268876744533	-0.053095157810537
