"Date"	"Crude.Oil"	"Rapeseed"	"Biodiesel"
"225"	2007-09-07	346.1282443	582.393388343686	1028.3
"226"	2007-09-14	350.2166208	579.339027719344	1033.9
"227"	2007-09-21	355.0597745	586.413108276728	1038.2
"228"	2007-09-28	352.6067486	598.435466834945	1044.5
"229"	2007-10-05	353.6131182	592.620634907087	1039.7
"230"	2007-10-12	359.8400301	602.459828769081	1047.4
"231"	2007-10-19	374.3694912	618.281691563265	1047.7
"232"	2007-10-26	386.7604169	618.344974497368	1060.1
"233"	2007-11-02	400.7237951	625.921109666233	1063.6
"234"	2007-11-09	400.4093046	630.917354794007	1088.4
"235"	2007-11-16	396.0064376	618.735967191378	1156.8
"236"	2007-11-23	408.0828728	651.395962816739	1183
"237"	2007-11-30	380.5964031	657.056934765892	1198.1
"238"	2007-12-07	379.8416259	656.157927437896	1200.5
"239"	2007-12-14	400.5979989	685.833333333333	1202.6
"240"	2007-12-21	406.5733184	718.517926919251	1206.4
"241"	2007-12-28	405.3153564	721.897975270626	1209.89549993027
"242"	2008-01-04	414.6871733	731.804610625217	1222.8
"243"	2008-01-11	387.1378055	742.927049954168	1238.2
"244"	2008-01-18	386.2572321	731.823466476466	1213
"245"	2008-01-25	392.6099402	717.79178379773	1215.7
"246"	2008-02-01	383.8042062	750.157593009792	1217.8
"247"	2008-02-08	401.4156742	772.175816995806	1215.45546163043
"248"	2008-02-15	411.0390835	783.314756137995	1216.6
"249"	2008-02-22	413.8065999	820.448167536229	1220.3
"250"	2008-02-29	417.3917916	877.436332078978	1212.60101991704
"251"	2008-03-07	424.9395636	825.375751470329	1244
"252"	2008-03-14	439.5948209	828.57805625252	1314
"253"	2008-03-21	413.1147208	762.854229476542	1265.2
"254"	2008-03-28	414.1210904	758.344086177976	1260.7
"255"	2008-04-04	419.4045308	773.550543042521	1263.5
"256"	2008-04-11	429.7198192	755.304959543951	1267.4867018977
"257"	2008-04-18	450.9164789	739.146873974656	1274.40616134975
"258"	2008-04-25	467.1441887	735.764878402073	1280.2
"259"	2008-05-02	464.1250799	672.778671779048	1283.98767680848
"260"	2008-05-09	505.3862335	724.13242100894	1297.6
"261"	2008-05-16	496.89499	717.756116345792	1327.7
"262"	2008-05-23	516.2047067	747.340251210348	1358
"263"	2008-05-30	515.135439	713.897230792005	1388.6
"264"	2008-06-06	539.6027999	738.354547537315	1390.8
"265"	2008-06-13	550.5470693	765.4635000899	1405.1
"266"	2008-06-20	538.7222265	764.387361669184	1404.6
"267"	2008-06-27	559.4157014	756.300692682507	1405.3
"268"	2008-07-04	578.4109276	767.38606050722	1416.7
"269"	2008-07-11	571.9324233	743.445089188663	1422.2
